"scientific_name","Zone1_A","Zone1_B","Zone1_C","Zone1_D","Zone1_E","Zone2_A","Zone2_B","Zone2_C","Zone2_D","Zone2_E","Zone3_A","Zone3_B","Zone3_C","Zone3_D","Zone3_E","Zone3_F","Zone4_A","Zone4_B","Zone4_C","Zone4_D","Zone4_E","Zone4_F","Zone4_G","Zone4_H","Zone4_I","Zone4_J","Zone4_K"
"Buglossidium.luteum",0,0,0,0,0,0,0,0.08,0.14,0.25,0.09,0,12.5,0.4,0.15,34.61,17.4,100,0,1.37,44.82,39.38,75.44,82.18,39.79,99.07,95.83
"Callionymus.lyra",0,0,0,0,0,0,0,0.41,0,0.22,0.72,0.02,42.58,1.29,0.15,55.93,78.61,100,21.96,20.52,80.02,66.98,100,97.8,62.31,100,99.98
"Callionymus.maculatus",0,0,0,0,0,0,0,0.02,0.01,0,0.05,0,2.08,0.01,0.02,32.32,2.02,100,2.4,0.38,46.13,38.69,26.58,61.56,25.33,100,95.25
"Carassius.carassius",12.9,72.79,59.82,10.9,1.53,33.43,56.16,51.94,0.03,6.64,57.95,7.35,0,5.37,0,0,0,0,0,4.62,0,0,0,0,0,0,0
"Chelidonichthys.lucerna",0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,20.29,0,94.44,0,0.01,3.89,21.68,21.56,51.1,18.7,99.24,89.79
"Ciliata.mustela",0,0,0,0,0,0,0,0.46,0.09,0.15,1.07,0.05,17.74,0.29,0.09,4.45,38.6,100,46.13,7.32,0,2.13,70.89,43.27,25.84,54.75,46.03
"Clupea.harengus",63.66,28.7,1.74,9.99,2.38,1.58,16.19,53.33,99.98,91.6,49.35,96.44,49.15,92.64,100,97.97,26.28,0,1.29,49.12,100,97.95,32.34,65.65,62.41,78.08,74.12
"Coregonus.albula",48.44,0.29,20.33,84.08,96.02,55.06,26.89,2.59,12.1,2.56,0.11,2.52,0,1.61,8.7,0,0,0,0,0.07,0,0,0,0,0,0,0
"Coregonus.maraena",66.31,4.46,5.71,69.94,62.33,30.23,18.57,18.62,11.5,15.31,10.08,27.73,0,12.38,7.29,0,0,0,0,2.56,0,0,0,0,0,0,0
"Cottus.gobio",17.89,0.09,0,6.02,0,0.28,1.92,7.24,3.61,9.3,3.12,18.23,0,7.76,2.21,0,0,0,0,1.13,0,0,0,0,0,0,0
"Ctenolabrus.rupestris",0,0.03,0,0,0,0,0,0.97,0,0.63,1.93,0.03,36.85,1.12,0,6.43,92.85,4.17,78.78,26.43,0.14,4.87,80.6,35.09,33.86,1.13,12.15
"Cyclopterus.lumpus",0.12,0,0,0,0,0,0,0,46.86,33.22,0,4.63,18.65,41.4,57.02,84.47,0,0,0,6.02,98.9,85.69,33.04,46.08,43.01,5.75,39.44
"Enchelyopus.cimbrius",0,0,0,0,0,0,0,0,16.74,0.21,0,0,0,0.82,25.01,37.68,0,95.83,0,0,21.33,30.98,0,27.24,3.84,90.95,57.86
"Engraulis.encrasicolus",0,0,0,0,0,0,0,0,13.16,11.88,0,0.12,15.17,13.33,13.13,87.29,0,95.83,0,2.87,96.12,91.14,35.74,69.29,45.6,99.07,96.59
"Entelurus.aequoreus",0,0,0,0,0,0,0,0.19,0,0.08,0.35,0.01,8.91,0.2,0,23.09,12.98,100,16.61,3.93,5.78,22.58,66.77,71.92,34.26,99.62,98.7
"Esox.lucius",21.69,43.28,64.42,83.34,92.81,79.86,72.16,42.17,0.07,6.75,50.14,6.74,1.65,5.4,0,0,0,0,5.35,6.49,0,0,0,0,0.31,0,0
"Gadus.morhua",0.07,0.38,0,0,0,0,0,7.25,45.72,44.79,8.52,13.69,95.84,52.35,51.97,100,100,100,73.99,79.39,100,99.94,100,100,98.41,100,100
"Gasterosteus.aculeatus",70.84,69.06,41.43,47.7,22.44,37.53,55.41,84.11,93.47,95.58,89.73,96.24,92.88,96.2,92.1,99.04,86.6,0,100,95.74,100,99.9,76.3,82.56,91.44,76,74.3
"Glyptocephalus.cynoglossus",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,8.11,0,95.83,0,0,8.08,9.54,0.03,28.07,4.49,89.32,59.77
"Gymnocephalus.cernua",74.11,91.98,99.99,99.22,99.86,99.99,99.61,72.83,4.34,25.49,67.71,37.79,0.01,21.03,1.73,0,0,0,0,7.58,0,0,0,0,0.08,0,0
"Hippoglossoides.platessoides",0,0.01,0,0,0,0,0,0.31,0.35,0.12,0.41,0.01,21.18,0.92,0.45,56.13,21.49,100,11.81,8.81,76.91,66.87,72.57,84.9,48.77,100,99.99
"Hyperoplus.immaculatus",0,0,0,0,0,0,0,0,5.57,10.53,0,0.39,1.13,10.81,3.88,0.49,0,0,0,0.61,0.1,0.45,0,0,2.37,0,0
"Hyperoplus.lanceolatus",0.75,3.92,0,0,0,0,0,18.23,21.75,56.53,20.69,38.73,86.67,55.52,16.47,55.88,95.82,52.78,28.41,78.56,92.24,57.03,99.36,79.94,90.98,9.62,47.69
"Labrus.bergylta",0,0,0,0,0,0,0,0.33,0,0.33,0.64,0.01,20.58,0.69,0,7.24,64.32,4.17,22.51,15.03,2.4,8.4,34.23,19.3,18.43,1.39,8.53
"Lampetra.fluviatilis",82.27,93.77,81.56,62.88,40.31,64.98,80.38,83.7,94.4,83.31,85.85,92.36,2,83.26,86.79,11.96,0,2.78,0,19.11,1.01,4.14,0,0.13,2.81,19.4,5.04
"Lepidorhombus.whiffiagonis",0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,15.5,0,94.44,0,0,4.4,16.04,13.37,47.84,16.52,83.05,78.73
"Leuciscus.idus",18.79,32.21,22.14,56,48.14,42.39,44.78,46.04,0.08,7.69,55.45,11.45,0.06,6.07,0,0,0,0,0,5.61,0,0,0,0,0,0,0
"Leuciscus.leuciscus",25.25,0.81,7.59,68.95,86.37,44.21,12.13,2.48,0.57,2.19,0.91,3.02,0,1.38,0.26,0,0,0,0,0.02,0,0,0,0,0,0,0
"Limanda.limanda",0,0.66,0,0,0,0,0,7.71,7.44,15.67,9.29,1.77,97.35,17.76,6.9,98.93,100,100,91.88,77.83,100,99.99,100,100,97.19,100,99.99
"Liparis.liparis",5.5,0,0,0,0,0,0,0,42.69,3.82,0,1.97,0,6.96,40.92,0.69,0,0,0,0,0.25,1.01,0,0.15,0.01,9.56,4.02
"Lophius.piscatorius",4.71,0.03,0.28,7.28,35.41,4.82,0.51,0.08,0.55,0.05,0,0.09,0.03,0.02,0.22,3.04,0.19,100,0,0.05,0,1.01,9.69,37.06,11.97,91.86,70
"Lota.lota",63.07,29.32,13.38,79.46,76.24,38.52,25.88,22.16,5.57,12.78,13.46,23.84,0,10.06,2.83,0,0,0,0,1.54,0,0,0,0,0,0,0
"Lumpenus.lampretaeformis",0.05,0,0,0,0,0,0,0,15.94,0.32,0,0.05,2.42,2.2,15.89,37.56,0,100,0,0.03,60.18,48.2,8.32,53.15,22.33,99.41,86.03
"Maurolicus.muelleri",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,95.83,0,0,0,0.13,0.01,16.38,1.08,90.11,44.95
"Melanogrammus.aeglefinus",0,0,0,0,0,0,0,0,2,0.24,0,0,1.25,0.41,2.08,49.14,0,100,0,0.08,34.07,49.23,22.98,56.38,22.15,100,95.14
"Merlangius.merlangus",0,0.65,0,0,0,0,0,5.48,9.93,10.05,7,0.16,88.04,12.51,10.97,99.81,92.15,100,92.25,65.82,100,100,100,100,90.42,100,100
"Micromesistius.poutassou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.62
"Microstomus.kitt",0,0,0,0,0,0,0,0.1,0.02,0.01,0.14,0.02,23.75,0.09,0.15,43.5,39.73,100,0.55,6.11,51.01,52.48,95.32,90.08,49.44,100,99.86
"Mullus.surmuletus",0,0,0,0,0,0,0,0.03,0.7,1.9,0.03,0,21.46,3.07,0.84,72.07,18.48,100,0,9.46,98.92,83.65,44.05,76.49,48.51,99.99,98.72
"Myoxocephalus.quadricornis",47.31,0.23,0.02,1.67,0.14,0.03,1.07,2.32,55.48,27.38,0.29,35.84,0,27.47,47.24,0,0,0,0,0.55,0,0,0,0,0,0,0
