"species","colour","cluster","cluster_int","cluster_name"
"Glycera.alba","#D17B44","K",11,"Zone4_K"
"Nucula.nitidosa","#D17B44","K",11,"Zone4_K"
"Thyasira.flexuosa","#D17B44","K",11,"Zone4_K"
"Eudorella.truncatula","#D17B44","K",11,"Zone4_K"
"Levinsenia.gracilis","#D17B44","K",11,"Zone4_K"
"Phaxas.pellucidus","#D17B44","K",11,"Zone4_K"
"Kurtiella.bidentata","#D17B44","K",11,"Zone4_K"
"Scalibregma.inflatum","#D17B44","K",11,"Zone4_K"
"Terebellides.stroemii","#D17B44","K",11,"Zone4_K"
"Abyssoninoe.hibernica","#D17B44","K",11,"Zone4_K"
"Oxydromus.flexuosus","#D17B44","K",11,"Zone4_K"
"Glycera.unicornis","#D17B44","K",11,"Zone4_K"
"Abra.nitida","#D17B44","K",11,"Zone4_K"
"Ennucula.tenuis","#D17B44","K",11,"Zone4_K"
"Ampelisca.macrocephala","#D17B44","K",11,"Zone4_K"
"Chalinula.limbata","#D17B44","K",11,"Zone4_K"
"Paradoneis.eliasoni","#D17B44","K",11,"Zone4_K"
"Praxillella.praetermissa","#D17B44","K",11,"Zone4_K"
"Rhodine.gracilior","#D17B44","K",11,"Zone4_K"
"Chaetoderma.nitidulum","#D17B44","K",11,"Zone4_K"
"Maldane.sarsi","#D17B44","K",11,"Zone4_K"
"Owenia.fusiformis","#D17B44","K",11,"Zone4_K"
"Notomastus.latericeus","#D17B44","K",11,"Zone4_K"
"Cylichna.cylindracea","#D17B44","K",11,"Zone4_K"
"Turritella.communis","#D17B44","K",11,"Zone4_K"
"Dosinia.exoleta","#D17B44","K",11,"Zone4_K"
"Polycirrus.norvegicus","#D17B44","K",11,"Zone4_K"
"Ampelisca.diadema","#D17B44","K",11,"Zone4_K"
"Diastylis.laevis","#D17B44","K",11,"Zone4_K"
"Trichobranchus.roseus","#20A73C","J",10,"Zone4_J"
"Westwoodilla.caecula","#20A73C","J",10,"Zone4_J"
"Glycinde.nordmanni","#20A73C","J",10,"Zone4_J"
"Golfingia.vulgaris","#20A73C","J",10,"Zone4_J"
"Prionospio.multibranchiat","#20A73C","J",10,"Zone4_J"
"Rhodine.loveni","#20A73C","J",10,"Zone4_J"
"Magelona.minuta","#20A73C","J",10,"Zone4_J"
"Anobothrus.gracilis","#20A73C","J",10,"Zone4_J"
"Pectinaria.belgica","#20A73C","J",10,"Zone4_J"
"Acanthocardia.echinata","#20A73C","J",10,"Zone4_J"
"Harpinia.antennaria","#20A73C","J",10,"Zone4_J"
"Labidoplax.buskii","#20A73C","J",10,"Zone4_J"
"Polyphysia.crassa","#20A73C","J",10,"Zone4_J"
"Sphaerodorum.gracilis","#20A73C","J",10,"Zone4_J"
"Brada.villosa","#20A73C","J",10,"Zone4_J"
"Virgularia.mirabilis","#20A73C","J",10,"Zone4_J"
"Priapulus.caudatus","#20A73C","J",10,"Zone4_J"
"Protomedeia.fasciata","#20A73C","J",10,"Zone4_J"
"Artacama.proboscidea","#20A73C","J",10,"Zone4_J"
"Apistobranchus.tullbergi","#20A73C","J",10,"Zone4_J"
"Crenella.decussata","#20A73C","J",10,"Zone4_J"
"Sphaerotrichia.divaricata","#00A0D6","I",9,"Zone4_I"
"Ahnfeltia.plicata","#00A0D6","I",9,"Zone4_I"
"Chondrus.crispus","#00A0D6","I",9,"Zone4_I"
